rmse,exp_filter,factor,with_fsua
1.7114195313382603,rf,0,True
3.036411013212862,ground_t,0,True
3.771571397781372,df,0,True
1.7341105158654029,rf,0,False
3.036411013212862,ground_t,0,False
3.771571397781372,df,0,False
2.0718336899348615,rf,1,True
5.133073883453937,ground_t,1,True
3.771571397781372,df,1,True
4.228145791288714,rf,1,False
5.133073883453937,ground_t,1,False
3.771571397781372,df,1,False
3.0926084109685643,rf,5,True
9.69433688909958,ground_t,5,True
3.771571397781372,df,5,True
9.199971748383415,rf,5,False
9.69433688909958,ground_t,5,False
3.771571397781372,df,5,False
3.5308850856223626,rf,10,True
12.03071575466596,ground_t,10,True
3.771571397781372,df,10,True
11.649963249927842,rf,10,False
12.03071575466596,ground_t,10,False
3.771571397781372,df,10,False
